competitionCode,teamShortName,playerName,profileUrl,seasonMatches,seasonStarts,seasonMinutes,seasonTries,seasonYellowCards,seasonRedCards,contractEndDate,careerHistory
PROD2,AGE,Jules SOULAN,https://www.allrugby.com/joueurs/jules-soulan-4560.html,2,1,86,,,,2027-06-30,Oyonnax Rugby (2021 - 2024) | Provence Rugby (2024 - 2026) | Sporting Union Agenais (2026 - 2027)
PROD2,AGE,Loick JAMMES,https://www.allrugby.com/joueurs/loick-jammes-2506.html,10,6,478,1,,,2018-06-30,Sporting Union Agenais (2017 - 2018) | CA Brive Corrèze Limousin (2018 - 2019) | Provence Rugby (2019 - 2025)
PROD2,AGE,Lucien RICHARDIS,https://www.allrugby.com/joueurs/lucien-richardis-17747.html,3,1,106,1,,,2027-06-30,Stade Toulousain (2015 - 2026) | Sporting Union Agenais (2026 - 2027)
PROD2,AGE,Lucas MARTIN,https://www.allrugby.com/joueurs/lucas-martin-11207.html,2,2,86,1,,,,Provence Rugby (2017 - 2024) | Aviron Bayonnais (2024 - 2027)
PROD2,AGE,Clément GARRIGUES,https://www.allrugby.com/joueurs/clement-garrigues-11282.html,2,1,90,,,,2027-06-30,Union Sportive Montalbanaise (2015 - 2016) | Sporting Union Agenais (2016 - 2027)
PROD2,AGE,Kolinio RAMOKA,https://www.allrugby.com/joueurs/kolinio-ramoka-11247.html,2,1,95,,,,2027-06-30,Union Cognac-Saint-Jean d'Angély (2018 - 2021) | Sporting Union Agenais (2021 - 2027)
PROD2,AGE,Ollie CUMMINS,https://www.allrugby.com/joueurs/ollie-cummins-14761.html,1,1,66,1,,,2027-06-30,Western Force (2022 - 2024) | Sporting Union Agenais (2024 - 2027)
PROD2,AGE,Andrés ZAFRA,https://www.allrugby.com/joueurs/andres-zafra-4677.html,2,2,160,,,,2021-06-30,Sporting Union Agenais (2018 - 2021) | CA Brive Corrèze Limousin (2021 - 2023) | Provence Rugby (2023 - 2027)
PROD2,AGE,Peyo MUSCARDITZ,https://www.allrugby.com/joueurs/peyo-muscarditz-4842.html,2,2,160,,,,2023-06-30,Sporting Union Agenais (2023 - 2023) | Aviron Bayonnais (2024 - 2024) | Sporting Union Agenais (2024 - 2027)
PROD2,AGE,Sio TOMKINSON,https://www.allrugby.com/joueurs/sio-tomkinson-6848.html,1,1,67,,,,2027-06-30,Dragons RFC (2022 - 2024) | Western Force (2024 - 2025) | Sporting Union Agenais (2025 - 2027)
PROD2,AGE,Clément CHARTIER,https://www.allrugby.com/joueurs/clement-chartier-3325.html,27,16,1188,,,,,Provence Rugby (2022 - 2024) | Nissa Rugby (2024 - 2025)
PROD2,AGE,Charles LALOI,https://www.allrugby.com/joueurs/charles-laloi-13660.html,2,2,129,1,,,2027-06-30,Stade Français Paris Rugby (2021 - 2026) | Sporting Union Agenais (2026 - 2027)
PROD2,AGE,Iban ETCHEVERRY,https://www.allrugby.com/joueurs/iban-etcheverry-4449.html,2,2,160,,,,2027-06-30,US Colomiers (2018 - 2019) | Soyaux-Angoulême XV Charente (2019 - 2021) | Sporting Union Agenais (2021 - 2027)
PROD2,AGE,Lucas MARTINS,https://www.allrugby.com/joueurs/lucas-martins-15040.html,2,2,160,1,,,2027-06-30,Blagnac (2019 - 2024) | Sporting Union Agenais (2024 - 2027)
PROD2,AGE,Louis DUPICHOT,https://www.allrugby.com/joueurs/louis-dupichot-3990.html,2,2,128,,,,2027-06-30,Racing 92 (2017 - 2023) | Union Sportive Arlequins Perpignanais (2023 - 2025) | Sporting Union Agenais (2025 - 2027)
