title,summary,sourceUrl,publishedAt,source,competitionCode
In Extenso Supersevens. Accouchement en décembre 2025 et Supersevens huit mois plus tard : le joli parcours de Khadidja Camara (AC Bobigny),"Joueuse de l'AC Bobigny, Khadidja Camara a soufflé ses 35 bougies et donné vie à deux merveilles, le dernier accouchement remontant à décembre dernier. Après Biarritz, cette baroudeuse du rugby sera présente à l'étape...",https://www.rugbyrama.fr/2026/08/28/in-extenso-supersevens-accouchement-en-decembre-2025-et-supersevens-huit-mois-plus-tard-le-joli-parcours-de-khadidja-camara-ac-bobigny-13524957.php,2026-08-28T13:32:45,Rugbyrama,
"International - Rugby's Greatest Rivalry. Handré Pollard forfait, Cheslin Kolbe titulaire... Rassie Erasmus a dû ajuster ses plans avant le deuxième test face aux All Blacks","Annoncée dès lundi, la composition sud-africaine pour le deuxième test du ""Rugby Greatest Rivalry"" connaît quelques rebondissements…",https://www.rugbyrama.fr/2026/08/28/rugby-greatest-rivalry-handre-pollard-forfait-cheslin-kolbe-titulaire-rassie-erasmus-a-du-ajuster-ses-plans-avant-le-deuxieme-test-face-aux-all-blacks-13526718.php,2026-08-28T12:06:02,Rugbyrama,
"Pro D2 - ""Si on veut des prises d’initiatives, il faut accepter le déchet"", lance Grégory Patat, nouveau garant du projet sportif","Arrivé lors de la dernière intersaison à la tête du secteur sportif, Grégory Patat se montre satisfait de la préparation de son équipe qu’il sent prête pour prendre un nouveau virage dans sa philosophie de jeu où la...",https://www.rugbyrama.fr/2026/08/28/pro-d2-si-on-veut-des-prises-dinitiatives-il-faut-accepter-le-dechet-lance-gregory-patat-nouveau-garant-du-projet-sportif-13526764.php,2026-08-28T11:58:47,Rugbyrama,PROD2
"International - Joseph-Aukuso Sua'ali'i sur le banc, Isaac Kailea de retour, Pablo Matera capitaine : les compositions d'Argentine - Australie","Ce samedi, les Pumas reçoivent les Australiens de Les Kiss dans le cadre d'un test-match. Entre changements et continuité, les deux équipes ont opté pour des stratégies différentes... Voici les compositions",https://www.rugbyrama.fr/2026/08/28/international-joseph-aukuso-suaalii-sur-le-banc-isaac-kailea-de-retour-pablo-matera-capitaine-les-compositions-dargentine-australie-13526623.php,2026-08-28T11:39:50,Rugbyrama,
"Pro D2. Brive - Valence Romans. Premières pour Marco Tauleigne et Aymeric Luc, Mathis Galthié à la mêlée : les compositions du dernier match de la J1","Après un premier multiplex riche en enseignements et en essais, la J1 du Pro D2 s'achève vendredi soir avec l'affiche Brive - Valence Romans. Découvrez la composition des deux équipes !",https://www.rugbyrama.fr/2026/08/28/pro-d2-brive-valence-romans-premieres-pour-marco-tauleigne-et-aymeric-luc-mathis-galthie-a-la-melee-les-compositions-du-dernier-match-de-la-j1-13526552.php,2026-08-28T09:52:22,Rugbyrama,PROD2
"Pro D2 - ""On doit être plus tueur en zone de marque"", pointe Simon Tarel, demi de mêlée de Nevers après la défaite contre Montauban","Après avoir fait le siège en vain de la ligne montalbanaise pendant les vingt dernières minutes, Nevers s’est incliné sur sa pelouse du Pré-Fleuri (21-25), jeudi soir. Un match au scénario chamboulé par le violent...",https://www.rugbyrama.fr/2026/08/28/pro-d2-on-doit-etre-plus-tueur-en-zone-de-marque-pointe-simon-tarel-demi-de-melee-de-nevers-apres-la-defaite-contre-montauban-13526561.php,2026-08-28T09:35:06,Rugbyrama,PROD2
"Pro D2 - ""On a pris pas mal de plaisir"" : le succès et la manière pour Grenoble face à Aurillac","Dans un match à treize essais, l’arrière du FCG s’est particulièrement distingué en marquant trois essais et en offrant deux à ses partenaires. Mais, malgré cette remarquable performance et la victoire bonifiée des...",https://www.rugbyrama.fr/2026/08/28/pro-d2-on-a-pris-pas-mal-de-plaisir-le-succes-et-la-maniere-pour-grenoble-face-a-aurillac-13526525.php,2026-08-28T09:19:36,Rugbyrama,PROD2
"Pro D2 - ""Pas possible de prendre des essais trop rapidement"", souffle Kleo Labarbe, après la défaite aurillacoise contre Grenoble","Auteur d’un essai pour sa première sous ses nouvelles couleurs, le demi-de-mêlée d’Aurillac déplore les largesses défensives de son équipe laissant Grenoble, vainqueur sur le score de 57-33, prendre le large dès la...",https://www.rugbyrama.fr/2026/08/28/pro-d2-pas-possible-de-prendre-des-essais-trop-rapidement-souffle-kleo-labarbe-apres-la-defaite-aurillacoise-contre-grenoble-13526516.php,2026-08-28T09:02:11,Rugbyrama,PROD2
"Pro D2 – ""On avait challengé nos avants pour contrer Béziers"", la stratégie gagnante expliquée par Fabien Cibray (Oyonnax)","Le manager général d’Oyonnax a apprécié le comportement de ses troupes après la victoire acquise à Béziers (21-31). Portés par une solide conquête, les Aindinois ont construit leur succès patiemment, de quoi donner...",https://www.rugbyrama.fr/2026/08/28/pro-d2-on-avait-challenge-nos-avants-pour-contrer-beziers-la-strategie-gagnante-expliquee-par-fabien-cibray-oyonnax-13526023.php,2026-08-28T08:49:19,Rugbyrama,PROD2
"Pro D2 – ""Cela prendra du temps, nous sommes dans une totale reconstruction"" : à Béziers, un projet toujours en construction après la défaite contre Oyonnax","Défaits par Oyonnax sur ses terres lors de cette journée inaugurale (21-31), les Biterrois ont fini par flancher dans le deuxième acte. Si des promesses furent tenues, la densité des visiteurs aura eu raison de...",https://www.rugbyrama.fr/2026/08/28/pro-d2-cela-prendra-du-temps-nous-sommes-dans-une-totale-reconstruction-a-beziers-un-projet-toujours-en-construction-apres-la-defaite-contre-oyonnax-13526024.php,2026-08-28T08:44:30,Rugbyrama,PROD2
"Pro D2 - ""On a fait preuve de caractère"" : le SA XV a ressorti ses ingrédients fétiches pour renverser Colomiers",L’entraîneur des arrières du SA XV Guillaume Laforgue a particulièrement apprécié la capacité de ses joueurs à faire le dos rond avant de faire la différence ce jeudi contre Colomiers.,https://www.rugbyrama.fr/2026/08/28/pro-d2-on-a-fait-preuve-de-caractere-le-sa-xv-a-ressorti-ses-ingredients-fetiches-pour-renverser-colomiers-13526501.php,2026-08-28T08:39:02,Rugbyrama,PROD2
"Pro D2 - ""On va rester humbles et calmes"", tempère Sébastien Fouassier, après la victoire d'Aix face à Agen",L'entraîneur principal du terrain aixois loue la prestation réussie de ses joueurs mais veut rester les pieds sur terre après cette première victoire bonifiée.,https://www.rugbyrama.fr/2026/08/28/pro-d2-on-va-rester-humbles-et-calmes-tempere-sebastien-fouassier-apres-la-victoire-daix-face-a-agen-13526497.php,2026-08-28T08:18:15,Rugbyrama,PROD2
"Pro D2 - ""On a pris une petite claque"" : Agen s’est en partie hara-kiri à Provence Rugby","Emballants une grande partie de la rencontre, les Lot-et-Garonnais ont été plombés par une inefficacité frustrante dans la zone de marque (44-10). Une faillite qui a occupé toutes les analyses d'après-match dans les...",https://www.rugbyrama.fr/2026/08/28/pro-d2-on-a-pris-une-petite-claque-agen-sest-en-partie-hara-kiri-a-provence-rugby-13526047.php,2026-08-28T08:11:14,Rugbyrama,PROD2
"Matchs amicaux Top 14 - ""On s'attend à une opposition plus dense et physique"", assure Florent Vanverberghe (Castres), avant le match amical contre Montpellier","Florent Vanverberghe, deuxième ligne du CO, est prêt pour affronter Montpellier vendredi avec dans le viseur la réception de Vannes pour la première journée de Top 14.",https://www.rugbyrama.fr/2026/08/28/matchs-amicaux-top-14-on-sattend-a-une-opposition-plus-dense-et-physique-assure-florent-vanverberghe-castres-avant-le-match-amical-contre-montpellier-13525567.php,2026-08-28T07:01:04,Rugbyrama,TOP14
"In Extenso Supersevens. Paulin Riva (UBB Sevens) : ""Quand on voit l'avancée du tournoi en six ans, c’est bluffant""","Champion olympique en 2024 et joueur phare de France 7, Paulin Riva sera avec l'UBB Sevens pour la deuxième étape de l'In Extenso Supersevens. Il ambitionne évidemment une qualification pour l'étape finale à Nanterre.",https://www.rugbyrama.fr/2026/08/28/in-extenso-supersevens-paulin-riva-ubb-sevens-quand-on-voit-lavancee-du-tournoi-en-six-ans-cest-bluffant-13524289.php,2026-08-28T05:07:02,Rugbyrama,
"Pro D2 - ""J’ai arrêté de compter le nombre de ballons perdus au contact"" : Nissa Rugby, un festival de fautes et une claque pour commencer","Maladroit au possible et jamais en mesure de mettre son jeu en place, Nissa Rugby a démarré le championnat par une lourde défaite à Biarritz.",https://www.rugbyrama.fr/2026/08/27/pro-d2-jai-arrete-de-compter-le-nombre-de-ballons-perdus-au-contact-nissa-rugby-un-festival-de-fautes-et-une-claque-pour-commencer-13526019.php,2026-08-27T23:43:27,Rugbyrama,PROD2
"Carnet noir - Ancien pilier du Stade Toulousain, Christian Breseghello nous a quittés","C'était un pilier de devoir qui a joué deux finales du Stade Toulousain, une perdue et une gagnée. Christian Breseghello a fait la charnière entre deux époques.",https://www.rugbyrama.fr/2026/08/27/carnet-noir-ancien-pilier-du-stade-toulousain-christian-breseghello-nous-a-quittes-13526016.php,2026-08-28T10:49:45,Rugbyrama,
