competitionCode,homeShortName,awayShortName,matchday,kickoffAt,status,homeScore,awayScore
TOP14,TOU,UBB,3,2025-09-20T21:05:00,SCHEDULED,,
TOP14,LAR,ASM,3,2025-09-20T16:00:00,SCHEDULED,,
TOP14,SFP,TOL,3,2025-09-21T21:05:00,SCHEDULED,,
TOP14,RAC,BAY,3,2025-09-21T17:00:00,SCHEDULED,,
